,Dti,Energy,Pi
0,LE,1.0,106
1,LE,1.1,118
2,LE,1.2,129
3,LE,1.3,141
4,LE,1.4,153
5,LE,1.5,165
6,LE,1.6,177
7,LE,1.7,189
8,LE,1.8,200
9,LE,1.9,212
10,LE,2.0,224
11,LE,2.1,236
12,LE,2.2,248
13,LE,2.3,259
14,LE,2.4,271
15,LE,2.5,283
16,LE,2.6,295
17,LE,2.7,307
18,LE,2.8,319
19,LE,2.9,330
20,LE,3.0,342
21,LE,3.1,354
22,LE,3.2,366
23,LE,3.3,378
24,LE,3.4,389
25,LE,3.5,401
26,LE,3.6,413
27,LE,3.7,425
28,LE,3.8,437
29,LE,3.9,448
30,LE,4.0,460
31,LE,4.1,472
32,LE,4.2,484
33,LE,4.3,496
34,LE,4.4,508
35,LE,4.5,519
36,LE,4.6,531
37,LE,4.7,543
38,LE,4.8,555
39,LE,4.9,567
40,LE,5.0,578
41,LE,5.1,590
42,LE,5.2,602
43,LE,5.3,614
44,LE,5.4,626
45,LE,5.5,638
46,LE,5.6,649
47,LE,5.7,661
48,LE,5.8,673
49,LE,5.9,685
50,LE,6.0,697
51,LE,6.1,708
52,LE,6.2,720
53,LE,6.3,732
54,LE,6.4,744
55,LE,6.5,756
56,LE,6.6,768
57,LE,6.7,779
58,LE,6.8,791
59,LE,6.9,803
60,LE,7.0,815
61,LE,7.1,827
62,LE,7.2,838
63,LE,7.3,850
64,LE,7.4,862
65,LE,7.5,874
66,LE,7.6,886
67,LE,7.7,897
68,LE,7.8,909
69,LE,7.9,921
70,LE,8.0,933
71,LE,8.1,945
72,LE,8.2,957
73,LE,8.3,968
74,LE,8.4,980
75,LE,8.5,992
76,LE,8.6,1004
77,LE,8.7,1016
78,LE,8.8,1027
79,LE,8.9,1039
80,LE,9.0,1051
81,LE,9.1,1063
82,LE,9.2,1075
83,LE,9.3,1087
84,LE,9.4,1098
85,LE,9.5,1110
86,LE,9.6,1122
87,LE,9.7,1134
88,LE,9.8,1146
89,LE,9.9,1157
90,LE,10.0,1169
91,ME,10.0,119
92,ME,10.1,121
93,ME,10.2,122
94,ME,10.3,124
95,ME,10.4,126
96,ME,10.5,127
97,ME,10.6,129
98,ME,10.7,131
99,ME,10.8,133
100,ME,10.9,134
101,ME,11.0,136
102,ME,11.1,138
103,ME,11.2,139
104,ME,11.3,141
105,ME,11.4,143
106,ME,11.5,145
107,ME,11.6,146
108,ME,11.7,148
109,ME,11.8,150
110,ME,11.9,151
111,ME,12.0,153
112,ME,12.1,155
113,ME,12.2,157
114,ME,12.3,158
115,ME,12.4,160
116,ME,12.5,162
117,ME,12.6,163
118,ME,12.7,165
119,ME,12.8,167
120,ME,12.9,168
121,ME,13.0,170
122,ME,13.1,172
123,ME,13.2,174
124,ME,13.3,175
125,ME,13.4,177
126,ME,13.5,179
127,ME,13.6,180
128,ME,13.7,182
129,ME,13.8,184
130,ME,13.9,186
131,ME,14.0,187
132,ME,14.1,189
133,ME,14.2,191
134,ME,14.3,192
135,ME,14.4,194
136,ME,14.5,196
137,ME,14.6,197
138,ME,14.7,199
139,ME,14.8,201
140,ME,14.9,203
141,ME,15.0,204
142,ME,15.1,206
143,ME,15.2,208
144,ME,15.3,209
145,ME,15.4,211
146,ME,15.5,213
147,ME,15.6,215
148,ME,15.7,216
149,ME,15.8,218
150,ME,15.9,220
151,ME,16.0,221
152,ME,16.1,223
153,ME,16.2,225
154,ME,16.3,226
155,ME,16.4,228
156,ME,16.5,230
157,ME,16.6,232
158,ME,16.7,233
159,ME,16.8,235
160,ME,16.9,237
161,ME,17.0,238
162,ME,17.1,240
163,ME,17.2,242
164,ME,17.3,244
165,ME,17.4,245
166,ME,17.5,247
167,ME,17.6,249
168,ME,17.7,250
169,ME,17.8,252
170,ME,17.9,254
171,ME,18.0,255
172,ME,18.1,257
173,ME,18.2,259
174,ME,18.3,261
175,ME,18.4,262
176,ME,18.5,264
177,ME,18.6,266
178,ME,18.7,267
179,ME,18.8,269
180,ME,18.9,271
181,ME,19.0,273
182,ME,19.1,274
183,ME,19.2,276
184,ME,19.3,278
185,ME,19.4,279
186,ME,19.5,281
187,ME,19.6,283
188,ME,19.7,285
189,ME,19.8,286
190,ME,19.9,288
191,ME,20.0,290
192,ME,20.1,291
193,ME,20.2,293
194,ME,20.3,295
195,ME,20.4,296
196,ME,20.5,298
197,ME,20.6,300
198,ME,20.7,302
199,ME,20.8,303
200,ME,20.9,305
201,ME,21.0,307
202,ME,21.1,308
203,ME,21.2,310
204,ME,21.3,312
205,ME,21.4,314
206,ME,21.5,315
207,ME,21.6,317
208,ME,21.7,319
209,ME,21.8,320
210,ME,21.9,322
211,ME,22.0,324
212,ME,22.1,325
213,ME,22.2,327
214,ME,22.3,329
215,ME,22.4,331
216,ME,22.5,332
217,ME,22.6,334
218,ME,22.7,336
219,ME,22.8,337
220,ME,22.9,339
221,ME,23.0,341
222,ME,23.1,343
223,ME,23.2,344
224,ME,23.3,346
225,ME,23.4,348
226,ME,23.5,349
227,ME,23.6,351
228,ME,23.7,353
229,ME,23.8,354
230,ME,23.9,356
231,ME,24.0,358
232,ME,24.1,360
233,ME,24.2,361
234,ME,24.3,363
235,ME,24.4,365
236,ME,24.5,366
237,ME,24.6,368
238,ME,24.7,370
239,ME,24.8,372
240,ME,24.9,373
241,ME,25.0,375
242,ME,25.1,377
243,ME,25.2,378
244,ME,25.3,380
245,ME,25.4,382
246,ME,25.5,383
247,ME,25.6,385
248,ME,25.7,387
249,ME,25.8,389
250,ME,25.9,390
251,ME,26.0,392
252,ME,26.1,394
253,ME,26.2,395
254,ME,26.3,397
255,ME,26.4,399
256,ME,26.5,401
257,ME,26.6,402
258,ME,26.7,404
259,ME,26.8,406
260,ME,26.9,407
261,ME,27.0,409
262,ME,27.1,411
263,ME,27.2,413
264,ME,27.3,414
265,ME,27.4,416
266,ME,27.5,418
267,ME,27.6,419
268,ME,27.7,421
269,ME,27.8,423
270,ME,27.9,424
271,ME,28.0,426
272,ME,28.1,428
273,ME,28.2,430
274,ME,28.3,431
275,ME,28.4,433
276,ME,28.5,435
277,ME,28.6,436
278,ME,28.7,438
279,ME,28.8,440
280,ME,28.9,442
281,ME,29.0,443
282,ME,29.1,445
283,ME,29.2,447
284,ME,29.3,448
285,ME,29.4,450
286,ME,29.5,452
287,ME,29.6,453
288,ME,29.7,455
289,ME,29.8,457
290,ME,29.9,459
291,ME,30.0,460
292,ME,30.1,462
293,ME,30.2,464
294,ME,30.3,465
295,ME,30.4,467
296,ME,30.5,469
297,ME,30.6,471
298,ME,30.7,472
299,ME,30.8,474
300,ME,30.9,476
301,ME,31.0,477
302,ME,31.1,479
303,ME,31.2,481
304,ME,31.3,482
305,ME,31.4,484
306,ME,31.5,486
307,ME,31.6,488
308,ME,31.7,489
309,ME,31.8,491
310,ME,31.9,493
311,ME,32.0,494
312,ME,32.1,496
313,ME,32.2,498
314,ME,32.3,500
315,ME,32.4,501
316,ME,32.5,503
317,ME,32.6,505
318,ME,32.7,506
319,ME,32.8,508
320,ME,32.9,510
321,ME,33.0,511
322,ME,33.1,513
323,ME,33.2,515
324,ME,33.3,517
325,ME,33.4,518
326,ME,33.5,520
327,ME,33.6,522
328,ME,33.7,523
329,ME,33.8,525
330,ME,33.9,527
331,ME,34.0,529
332,ME,34.1,530
333,ME,34.2,532
334,ME,34.3,534
335,ME,34.4,535
336,ME,34.5,537
337,ME,34.6,539
338,ME,34.7,541
339,ME,34.8,542
340,ME,34.9,544
341,ME,35.0,546
342,HE,27.0,8
343,HE,27.1,8
344,HE,27.2,8
345,HE,27.3,8
346,HE,27.4,8
347,HE,27.5,8
348,HE,27.6,8
349,HE,27.7,8
350,HE,27.8,8
351,HE,27.9,8
352,HE,28.0,8
353,HE,28.1,9
354,HE,28.2,9
355,HE,28.3,9
356,HE,28.4,9
357,HE,28.5,9
358,HE,28.6,9
359,HE,28.7,9
360,HE,28.8,9
361,HE,28.9,9
362,HE,29.0,9
363,HE,29.1,9
364,HE,29.2,9
365,HE,29.3,9
366,HE,29.4,9
367,HE,29.5,10
368,HE,29.6,10
369,HE,29.7,10
370,HE,29.8,10
371,HE,29.9,10
372,HE,30.0,10
373,HE,30.1,10
374,HE,30.2,10
375,HE,30.3,10
376,HE,30.4,10
377,HE,30.5,10
378,HE,30.6,10
379,HE,30.7,10
380,HE,30.8,10
381,HE,30.9,11
382,HE,31.0,11
383,HE,31.1,11
384,HE,31.2,11
385,HE,31.3,11
386,HE,31.4,11
387,HE,31.5,11
388,HE,31.6,11
389,HE,31.7,11
390,HE,31.8,11
391,HE,31.9,11
392,HE,32.0,11
393,HE,32.1,11
394,HE,32.2,11
395,HE,32.3,11
396,HE,32.4,12
397,HE,32.5,12
398,HE,32.6,12
399,HE,32.7,12
400,HE,32.8,12
401,HE,32.9,12
402,HE,33.0,12
403,HE,33.1,12
404,HE,33.2,12
405,HE,33.3,12
406,HE,33.4,12
407,HE,33.5,12
408,HE,33.6,12
409,HE,33.7,12
410,HE,33.8,13
411,HE,33.9,13
412,HE,34.0,13
413,HE,34.1,13
414,HE,34.2,13
415,HE,34.3,13
416,HE,34.4,13
417,HE,34.5,13
418,HE,34.6,13
419,HE,34.7,13
420,HE,34.8,13
421,HE,34.9,13
422,HE,35.0,13
423,HE,35.1,13
424,HE,35.2,13
425,HE,35.3,14
426,HE,35.4,14
427,HE,35.5,14
428,HE,35.6,14
